標題,日期,內文,讚數,留言數
我是查理 I'm Charlene,2023年6月14日,真的太喜歡身上這套穿搭超級顯腿長！這條牛仔寬褲好修飾屁屁而且剛好能遮住肚子最胖的地方穿起來就是瘦！而且是brappers特殊的超薄丹寧布料比起一般牛仔褲薄夏天也能穿得住上衣也是超級顯身材看似平平無奇一穿上去也是顯瘦！真的嚇到另一套牛仔洋裝也是輕薄的夏日材質我喜歡它的扣子是按壓鈕扣所以穿脫都非常快速不用一個一個慢慢解扣子Brappers百貨專櫃和官網全面八折大家可以去逛逛https://reurl.cc/XE6ybR #你的夏日涼伴,529,7則留言
我是查理 I'm Charlene,2023年5月19日,第一次嘗試這種造型看起來有像還在唸書的18歲少女嗎我一開始還質疑髮型師說：「你是要把我綁成三太子嗎？」結果上次發限動的時候超多人回說這樣很好看很像NewJeans （拜託NewJeans 粉不要黑我，不是我說的）今天的照片比較特別的是全都是用 Samsung Galaxy Z Flip4拍的第一次用摺疊手機多角度自拍真的很方便只要單手比5就可以免手持自拍了，拍照不求人！！！！終於不用再求路人幫我拍照了也不用再苦苦哀求老公幫拍直的橫的都可以拍，還可以拍出潮流獨特視角想用主鏡頭高畫素自拍的話，也可以使用封面螢幕自拍可以摺疊螢幕來調整喜歡的拍照角度全身韓系穿搭都可以被拍進去而且我發現Galaxy Z Flip4的拍攝鏡頭會幫你自動美肌不用修圖就可以直接上傳也太方便難怪韓星手裡都有一台想跟上最新流行的韓妞手勢推薦大家試試摺疊機的FlexCam放手自拍Samsung#FlexCam放手自拍#GalaxyZFlip4,"1,239",25則留言
我是查理 I'm Charlene,2023年4月22日,找亮點第一張照片有什麼瑜伽教室不該出現的東西呢？昨天上課到一半忽然一隻貓咪走進教室還直接走到正中央、老師的墊子前給我們示範了一個下犬式然後逕自走去喝老師杯子裡的水喝完水又躺在老師的墊子旁翻肚舔毛睡覺太口愛了啦,"1,462",11則留言
我是查理 I'm Charlene,2023年8月5日,前幾天 I'm Jonas 和他姐姐的對話J：「我昨天去跑步的時候，覺得自己狀態不錯，就一時興起，跑了半馬（21公里），結果今天膝蓋好痛！」J姐：「Jonas，你現在在瑞典了，凡事lagom就好。」Lagom 如果翻成中文，應該可以說是「剛剛好」，凡事剛剛好就好。有時候他們倒咖啡也會說「lagom」，剛剛好的滿度。這不禁讓我思考，這種「剛剛好」的生活哲學，是不是只適合瑞典這種國家呢？在亞洲，如果我什麼都只做到剛剛好（大概是7、8分的努力），可能就是個很平庸的人吧。因為亞洲人口多，競爭激烈，努力沒有剛剛好的，永遠都是在推崇誰誰誰有多努力，越努力越好。我從小學到的觀念就是要特別努力，努力唸書、努力出人頭地、努力找份好工作。但J的父母並不期望孩子出人頭地，他們覺得剛剛好就好，可以住普通的房子，開著普通的車，有份普通的工作，開心健康就好。我覺得這也是瑞典的社會福利好所致，不需要特別努力就能有份工作，不需要努力賺錢也能買房、養小孩（學費政府出）。退休後的醫療費也是政府出，不用擔心養老的問題。所以在瑞典放眼所及之處，大家都過著差不多的生活，沒有誰的房子特別漂亮、車子特別貴，大家穿的衣服都差不多（但也許是因為我不在瑞典富豪圈裡才會這麼覺得）。沒有覺得哪一種生活方式才是對的，只是對於這兩種不同的生活態度有感而發。,"5,959",62則留言
我是查理 I'm Charlene,2023年1月28日,J說很喜歡我穿浴衣喜歡到說要買一套回台灣給我穿,"2,512",34則留言
我是查理 I'm Charlene,3月10日下午10:16,完成了我的人生清單來非洲看動物真的是可以一輩子回味的體驗，太不真實了這次來肯亞safari 獵遊選擇了在Naboisho保護區裡的帳篷飯店，包吃包住包看動物的行程，完美地無可挑惕！一般大家都去馬賽馬拉主區看動物，我們在的Naboisho保護區在它的東北邊，優點是看動物沒有時間限制，可以超早就去，也可以晚上十點看動物（馬拉賽拉只能待到晚上六點半）。還有一個優點是吉普車可以隨意開，所以可以離動物超近（馬拉塞拉只能開在主要道路上）。我們昨天晚上去看動物的時候真的就快嚇死，2隻獅子在吃獵到的長頸鹿寶寶，我們離獅子就只有3公尺遠，他吃到一半突然抬頭看我們，真的很怕他會撲過來吃我們,"3,818",24則留言
我是查理 I'm Charlene,2023年4月15日,出發前的晚餐約會我朋友聽到我要自己出國一週都很驚訝「怎麼沒有跟老公一起去？」「你們真的各玩各的誒」真的是各玩各的沒錯不過不是玩感情啦他喜歡潛水就去綠島潛水一週等他回來我就出國做一個禮拜的瑜伽還可以輪流在家顧貓咪在一起已經第九年了如果你問我維持關係的秘訣那就是不要太常見面保有各自的生活空間很重要（雖然這麼說，但我們還是住在一起7、8年了連我自己都不敢相信竟然能跟一個人在一起這麼久）I'm Jonas,"8,543",58則留言
我是查理 I'm Charlene,1月20日,人生中最冷的一天每一張照片都在強顏歡笑-25度的天氣出門拍照真的是最愚蠢的決定拍到一半覺得我的腳趾要脫落了J：「腳趾會痛嗎？」我：「超痛！」J：「還能感覺到痛表示你沒事，繼續。」我：「」最後一張照片才是我真實的心情,"3,206",34則留言
我是查理 I'm Charlene,2023年8月20日,昨天穿這樣去J爸的音樂聚會結果好多人都來問我們是不是要結婚了首圖比愛心的姿勢還是J媽叫我們比的看起來真的很像婚紗照,"8,052",67則留言
我是查理 I'm Charlene,3月4日下午8:39,來查看烏干達偏鄉學校的教室整修成果，我卻意外地在學生面前哭了老師說有個女生成績很好，但是沒有錢付中學學費（現在這間小學沒有跟她收學費），她再兩年就要升中學，所以問我們可不可以幫她。我跟她說，如果她考上中學的話，我可以贊助她學費，結果這個女生就哭了，我看到她哭，也跟著哭，結果反而變成她在安慰我贊助單一學生這種事情其實很有難度的，因為要定期追蹤（好險有 @helenaviep 願意幫我追蹤），而且這種事很多詐騙，很多學校老師和學生會聯合演出可憐的戲碼來賺取金錢。再加上如果是女學生的話，常常在發育後就被男人騙走、或是懷孕，所以我離開學校前，跟這個女學生千交代萬交代，不要結婚、不要懷孕！（他們國小的年紀而已，但這種事很常發生）總之，我發自內心感謝促成這個計畫所有人的努力去年 I'm Jonas和 @lovebinti.tw 發起的募款活動，在短短的幾個月後就看到了成果，也深深感謝捐款的各位,"4,166",20則留言
我是查理 I'm Charlene,3月6日下午9:45,拜訪烏干達偏鄉學校的第二天，買了144本筆記本給這裡的小學生（已是鄉下小書店全部的數量）。在台灣的我們，上課每個人都有課本，但這裡的學生買不起，只有老師才有，學生只能抄在筆記本上，所以筆記本就是他們的課本！但烏干達偏鄉的居民，一天的收入只有一美金左右（31元台幣），筆記本對他們來說是奢侈品，不知道要幾天不吃不喝才能買一本。但是對台灣的我們來說，卻是超簡單的舉手之勞，所以我知道後就衝去買筆記本。但是144本遠遠不夠，我希望有更多買不起筆記本的小朋友也能擁有。我們給的不只是筆記本和鉛筆，而是一個讓他們能好好學習、跳脫貧窮的機會。雖然無法改變烏干達貧窮的現狀，但我還是想盡我所能，幫助這些小朋友。他們其實沒做錯什麼，卻要生活在赤貧中；而我們卻如此幸運，有飯吃、有水喝、有受教育的機會。如果你也想幫助這些小學生的話，可以在留言處找到捐款連結320元就可以資助一位學生4本筆記本+10支鉛筆,"1,626",27則留言
我是查理 I'm Charlene,2023年11月15日,好久沒有畫這麼濃的妝了Jonas看到稱讚很漂亮但我說：「我馬上就要卸掉了。」Jonas一臉黑人問號我真的是不懂你們女人其實我也覺得自己很難搞化妝的時候 我的妝要持久又服貼！卸妝的時候要卸得乾淨又不傷皮膚！真的毛很多耶好險最近發現之前推薦過的卸妝水升級了！妮維雅B5精華卸妝水 #B5卸妝神水卸的又快又乾淨不會有殘妝堆在毛孔所以用了以後完全沒有長粉刺痘痘#B5卸妝神水 除了原有的雙重舒敏B5精華還升級多加入安心舒緩胺基酸所以卸完妝完全不會乾而且全系列德國原裝進口無酒精、無香料、無礦物油皮膚科醫師認證敏感肌也能用搭配掃膚融妝科技卸妝力很強底妝、腮紅、口紅、眼影、眉毛都卸得掉卸完妝終於可以讓皮膚透透氣睫毛膏的話推薦用妮維雅的眼唇卸妝液另外卸（他們家的眼唇卸妝液藍色款超好用！我用空一瓶了）我最近最常用的就是紫色 #舒敏型很適合皮膚容易敏感泛紅的人使用卸完臉很清爽不會油油的也不會泛紅重點是一大瓶400ml只要兩百多敏感肌和最近因為換季皮膚不穩或是想要維持皮膚穩定的人一定要入手試試哦https://reurl.cc/5OLxXqNIVEA#雙重舒敏B5精華 #妮維雅卸妝 #敏感肌安心卸妝#0殘妝秒卸淨 #肌膚深呼吸,"2,212",55則留言
我是查理 I'm Charlene,2023年7月20日,睽違好久的出差,110,1 則留言
我是查理 I'm Charlene,2023年9月23日,因為J喜歡游泳他幾乎每天都會去游泳池游3公里（泳渡日月潭的距離）在耳濡目染之下我覺得自己不能再這樣廢下去了就去我家的游泳池游了一次游完以後我：「天啊！我今天竟然用自由式游了6趟！我竟然會換氣了，好感動」J：「你進步很多，很棒！」我：「6趟是多遠啊？」J：「大概300公尺。你游了多久？」我：「半小時吧！」J：「你知道300公尺我要游多久嗎？」我：「我不想知道。」J：「我大概5分鐘就能游完。」我：「#%^+¥£*#（髒話消音）」@jonas.tjd,"4,078",44則留言
我是查理 I'm Charlene,2023年6月19日,今天健身完騎車回家的路上看到路邊有個老人在翻垃圾桶找東西吃我騎過去找他給他兩百元請他去買便當吃結果他比了一下自己的耳朵示意自己聽不到我才發現他是個聾啞人士我就指著錢，再比一個吃飯的手勢希望他知道我的意思他看著我的時候我才發現他很老了看起來八十幾歲非常瘦小讓我想到我阿公我就趁眼淚快掉下來前趕快騎車走了然後邊騎車邊哭到底為什麼最近這麼愛哭啦,"8,717",130則留言
我是查理 I'm Charlene,2022年11月15日,聖誕節又要到了時間也過太快了吧 每次聖誕節都會很煩惱交換禮物到底要送什麼很怕送到對方不喜歡的東西像我就很受不了收到馬克杯! 家裡馬克杯已經太多了 今天推薦一個我覺得很難失誤的聖誕禮物Ora2 和小巴黎聯名的聖誕禮盒 「小資輕奢浪漫組」 裡面全部都是身為人類會用到的東西呀! 牙膏牙刷漱口水!�洗髮護髮乳�是不是非常實用 而且還不是普通的牙膏哦是有香氛味道的牙膏刷起牙來口氣會香香的(而且有很好吃的感覺) 總共有3種味道: 浪漫野莓、沁心香橙、夢幻花香 野莓刷起來是甜甜的莓果味�香橙是檸檬薄荷涼涼的味道花香是淡淡的薰衣草+甜橙 我個人喜歡野莓和香橙的味道如果三種味道都很好奇的話也有3條一組的禮盒 「奢華療癒香氛組」 搭配小巴黎的流金香氛蠟燭還可以拿來按摩身體讓寒冷冬天每天都有療癒的香氣陪伴 我想女生應該都會很喜歡 #Ora2 #Ora2x小巴黎聖誕限定禮盒 #聖誕驚喜加氛台灣三詩達 Ora2愛樂齒,205,1 則留言
我是查理 I'm Charlene,2023年12月16日,帶著二貓移民瑞典現在人在阿姆斯特丹轉機飛了14小時20分可以感覺到小黑是來報恩、臭寶是來報仇的小黑全程超乖超安靜臭寶叫不停餵了3顆獸醫給的鎮靜劑也沒用還尿尿在籠子裡但又很心疼她要跟我們飛這麼久希望能順利熬過接下來的2小時飛行+3小時車程,"6,486",63則留言
我是查理 I'm Charlene,2023年10月10日,昨天和J單車遊京都意外去到80歲老奶奶一人經營的店一開始看門口，感覺已經荒廢了沒想到還在營業中點了烏龍麵真的好好吃！很有溫度很家常的味道吃的時候讓我想到日本影集絕味之旅感覺吃的這一次有可能就是最後一次了特別珍惜旅行就是這麼一回事即使舊地重遊發生過的事，再也不會重複了只留在記憶中也許這就是一期一會吧？Photo by @jonas.tjd,"5,350",20則留言
我是查理 I'm Charlene,2023年9月28日,埔里最愛的咖啡因為在地母廟旁邊有蠻多婆婆媽媽會來這裡喜歡安靜地坐著然後偷聽他們在聊什麼也一邊想像自己50歲以後會是什麼樣子,"1,695",15則留言
我是查理 I'm Charlene,2023年8月8日,Omg好久沒跟婊姐合體了因為每次私下見面不是在吃東西就是在聊天完全忘記合照這次終於有合體的美照了我們兩個一個油肌、一個偏乾肌真的很難有讓我們兩個同時都喜歡的產品不過歐舒丹的杏仁美體系列辦到了！天然植萃，清爽不油膩不管油肌乾肌都會覺得好用首先是 #杏仁沐浴油蘊含51%普羅旺斯甜杏仁油雖然叫做油但其實一點都不油遇水馬上乳化，搓揉後產生豐盈細緻泡沫潔淨力很強！惱人的夏天防曬可以洗得很乾淨而且洗完以後身體不會乾澀很保濕舒服味道超療癒，就像是身體自然散發的偽體香～洗完澡後可以馬上擦 #杏仁緊膚凝霜富含滋養效果滿分的甜杏仁油、Omega 6 & 9 及維他命E可以讓皮膚更柔嫩、緊實這瓶質地很讚保濕又不黏膩味道也超香超好聞是可以舒服躺在棉被裡的那種味道即日起到8/31還可以免費兌換 【摯愛杏仁明星體驗禮】，內含杏仁沐浴油6ml+杏仁緊膚凝霜6ml，你一定會愛上這個味道！https://bit.ly/3OGC2cB#緊膚美體首選 #歐舒丹 #LOccitane #EverybodyLovesAlmond L'OCCITANE en Provence,"1,394",6則留言
我是查理 I'm Charlene,2023年1月2日,2023的第一天，麻將我就先輸了110元，謝囉！2023祝每個人都平平安安、健健康康、荷包滿滿、心想事成,"1,018",10則留言
我是查理 I'm Charlene,2023年7月29日,這幾天我和 I'm Jonas 一直狂吃垃圾食物前天去吃了Max（瑞典版的麥當勞）昨天我吃了泡麵，J吃了pizza 晚上我還吃了糖果和洋芋片後來我們覺得很罪惡決定一起出門散步消耗一下熱量結果走啊走竟然走到一台賣漢堡的行動車前兩個人又點了kebab來吃我們坐在草地上吃的時候，J說：「這不是一趟健康之旅嗎？？怎麼變成垃圾食物之旅？」我：「散步可能消耗不到200卡，我們吃的這些應該超過1000卡」我怕我們九月回台灣的時候會變成小胖子,"2,925",24則留言
我是查理 I'm Charlene,2023年7月22日,跟J在他家附近散步結果遇到去年騎的小馬好可愛看起來他好像還記得我耶必須要買幾根紅蘿蔔去餵他,"2,032",14則留言
我是查理 I'm Charlene,2023年7月16日,這次去日本出差根本網美互助會沒有攝影師照片都互相拍這個是  Natalie吳斐莉 用手機幫我拍的是不是可以打分？,"1,668",15則留言
我是查理 I'm Charlene,2023年4月19日,J在抱怨說為什麼我出去玩一張自拍都沒有所以今天化了淡妝拍一張今天是喝咖啡、看書、冥想、頌缽按摩的一天而且今天吃素,"4,380",21則留言
我是查理 I'm Charlene,2023年11月11日,最近兩次爬山都是這副景色好哦,"1,705",15則留言
我是查理 I'm Charlene,2023年7月18日,每次來瑞典都帶錯衣服帶了一堆露肚子的小可愛結果天氣18度左右肚子好冷,"2,138",11則留言
我是查理 I'm Charlene,2023年4月20日,今天是我靈性生命中值得紀念的一天，因為我體會到了從體內自然流出的喜悅。通常我早上起床都會有起床氣，覺得起床很痛苦，一堆工作要做。但是在這裡，每天不到八點就自動醒來。（上次這樣應該是國小要遠足時興奮地起床）早上起床不覺得累，反而覺得身心都很輕盈。感激身邊所有事物，覺得自己能走能動能吃還有呼吸，活著真好，我享受每個當下。走路時，吃東西時，做任何事，我都試著保持正念。也試著把這份喜悅傳給別人：主動幫路邊自拍的情侶拍照、買路邊小弟弟賣的香、每趟旅程都給小費、對路人微笑。以前的我很害羞很封閉不喜歡跟人接觸，但是我今天開始嘗試外向一點點還很幸運地在吃午餐時看到日蝕，真的太棒了，希望我能一直記得這種感覺。,"3,500",14則留言
我是查理 I'm Charlene,2023年2月1日,過年後體重來到人生巔峰胖了4公斤…所以和J一起出門騎腳踏車從內湖成功橋騎到關渡結果到關渡後去吃了日本料理又喝了咖啡吃了甜點20公里白騎了#人生就是在做白工 重點是那家在關渡的咖啡店熱卡布好好喝甜點也好吃叫葉桂英咖啡,"3,580",20則留言
我是查理 I'm Charlene,2023年10月4日,昨天和我表妹講電話，聊到生活越來越貴這件事，竟然可以聊40分鐘！妹：「以前早上吃一個45元的飯糰可以飽到中午，現在大概九點就餓了。」我：「我也是！以前一個便當吃不完，現在吃光光還覺得沒飽……」：「停車費也是，以前百貨公司一小時100，現在120。」：「我朋友在公館停車位一個月八千。」：「連瑞典也變很貴，以前一盒奶油120元，現在一盒200。」：「J爸媽連報紙也不訂了，去他阿嬤家拿昨天的報紙看」諸如此類的對話持續了40分鐘你們也有感覺到通膨嗎？,"3,816",68則留言
我是查理 I'm Charlene,2023年4月10日,這幾天回埔里看阿公阿嬤深深覺得照顧老人真的是種修行阿公95，阿嬤92阿公身體很差，一直躺在床上阿嬤要照顧他，所以一直抱怨我說，哪有讓老人照顧老人的道理？所以想請個看護但阿嬤一直反對「看護來了要睡哪？」「一樓沒房間，阿公跌倒他聽不到。」「來了要給人家吃東西，我怎麼煮？」「外勞聽不懂怎麼辦？」「這麽多錢誰要付？」還沒說服她目前有申請政府長照的服務有來洗澡的、煮飯的、陪散步的就剩下半夜跌倒沒人扶的這個問題這幾天發生了一件事阿嬤花了九牛二虎之力幫阿公換尿布阿公卻在五分鐘後自己又把尿布脫掉阿嬤：「真的氣死我！問他要不要穿尿布他點頭，穿了又給我脫掉！浪費人家的尿布！我真的上輩子欠他的！」Bla-bla-bla 碎唸20分鐘以上我一直都當耳邊風，左耳進右耳出直到唸了3天今天終於受不了了我：「我也幫你配了耳機，兩副！一副6萬一副12萬，你還不是都不戴！」阿嬤：「耳機戴了不舒服。」我：「尿布也是穿了不舒服。」阿嬤：「可是你阿公blablablabla。」我插嘴：「你跟阿公一樣，一個不穿尿布，一個不戴耳機，兩個人配在一起嘟嘟好！」聽完阿嬤就心虛地笑了。老實說，以前我真的沒有這種耐心尤其是重聽要講話講很大聲再加上老人很喜歡同樣的事講十遍以上真的很容易對他們不耐煩但這次回來卻發現我內心平靜很多很少不耐煩了就算她唸了一個小時我還是沒爆炸我把這歸功於最近常看書和寫書法所以心比較靜的緣故再加上最近看的是達賴喇嘛的書可能受到大師一咪咪的感化了吧每個人都不容易生病的人不舒服照顧的人辛苦只希望大家都能多點包容體諒離苦得樂,1.1 萬,129則留言
我是查理 I'm Charlene,2023年4月10日,這幾天回埔里看阿公阿嬤深深覺得照顧老人真的是種修行阿公95，阿嬤92阿公身體很差，一直躺在床上阿嬤要照顧他，所以一直抱怨我說，哪有讓老人照顧老人的道理？所以想請個看護但阿嬤一直反對「看護來了要睡哪？」「一樓沒房間，阿公跌倒他聽不到。」「來了要給人家吃東西，我怎麼煮？」「外勞聽不懂怎麼辦？」「這麽多錢誰要付？」還沒說服她目前有申請政府長照的服務有來洗澡的、煮飯的、陪散步的就剩下半夜跌倒沒人扶的這個問題這幾天發生了一件事阿嬤花了九牛二虎之力幫阿公換尿布阿公卻在五分鐘後自己又把尿布脫掉阿嬤：「真的氣死我！問他要不要穿尿布他點頭，穿了又給我脫掉！浪費人家的尿布！我真的上輩子欠他的！」Bla-bla-bla 碎唸20分鐘以上我一直都當耳邊風，左耳進右耳出直到唸了3天今天終於受不了了我：「我也幫你配了耳機，兩副！一副6萬一副12萬，你還不是都不戴！」阿嬤：「耳機戴了不舒服。」我：「尿布也是穿了不舒服。」阿嬤：「可是你阿公blablablabla。」我插嘴：「你跟阿公一樣，一個不穿尿布，一個不戴耳機，兩個人配在一起嘟嘟好！」聽完阿嬤就心虛地笑了。老實說，以前我真的沒有這種耐心尤其是重聽要講話講很大聲再加上老人很喜歡同樣的事講十遍以上真的很容易對他們不耐煩但這次回來卻發現我內心平靜很多很少不耐煩了就算她唸了一個小時我還是沒爆炸我把這歸功於最近常看書和寫書法所以心比較靜的緣故再加上最近看的是達賴喇嘛的書可能受到大師一咪咪的感化了吧每個人都不容易生病的人不舒服照顧的人辛苦只希望大家都能多點包容體諒離苦得樂,1.1 萬,129則留言
我是查理 I'm Charlene,2023年3月31日,最近買的書以前在國外還是個窮學生的時候隻身一人逛街看到什麼都買不起那時就會躲進書店充滿安全感看看各種有趣的故事而且就算沒買店員也不會不爽現在的我已經可以在書店買沒打折的書也不心疼衷心感謝老天我是個幸運的人,"2,750",54則留言
我是查理 I'm Charlene,2023年3月20日,最近的我很想隱居很想去峇里島學瑜珈去西藏旅行去尼泊爾爬山最近又重新開始看房看的地點是山上但山上的缺點就是可能過幾年後價錢下跌很難賣理智告訴我還是地點好的地方比較保值但感性又想住山上好難啊,"3,326",87則留言
我是查理 I'm Charlene,2023年9月5日,把在瑞典快樂的片段都拍下來了像是小時候的剪貼畫拼湊出2023艷陽和暴雨交替的夏天漢堡那張照片是我在瑞典最快樂的時候哦哈哈哈明明去了很多美麗的地方但還是最喜歡和J坐在戶外、曬著太陽聽著店內播著我們喜歡的歌吃著漢堡的這種平凡的幸福漢堡店播了John Mayer、Leon Bridges、King of convenience 、Amanda Bergman的歌根本是我們平常在聽的歌單複製貼上,"5,090",18則留言
我是查理 I'm Charlene,2023年6月16日,我一直都是個不被愛的孩子，人生中最無法抹平的傷痛就是父母給的。在他們離婚的那個晚上，爭吵著冷氣是誰買的該歸誰，沙發是我買的我要搬走。等到所有的傢俱都吵完一輪後，只剩下三個孩子還站在原地。「孩子給你，我不要。」「是你說要生的，當然是你養！」「我一個女人怎麼帶得了這麼多孩子？」「反正我是不會養的。」僵持了好久，最後阿嬤很霸氣地說：「你們不養，我養！」我安靜地走進阿公的三菱廂型車，沒有看我的父母一眼。從台中開回埔里的路上，一句話也沒有說；阿嬤則是坐在我的旁邊罵我的父母夭壽骨。「原來我連一件傢俱都不如。」「我現在真的是連爸媽都不要的孩子了。」後來只要貪玩做錯事，阿公總是會說：「你們是沒人要的孩子，怎麼還不聽話！」好險阿嬤從來沒說過這樣的話，只會在我翹補習班的課去同學家看蠟筆小新漫畫時，拿巨大的香蕉葉打我。長大後，談的幾段感情，我都是被分手的一方，其中一個男友說我就像榭寄生，我覺得他說得很對，因為我沒有自我，只想牢牢扒在別人身上吸取愛，沒有愛情，我的世界就毀滅了。直到出國唸書工作的兩三年，一個人體驗過在外漂浮無根的生活，這其中家人一次也沒來看我，電話也沒打過。也許是那樣的狀態，才讓我明白一個人也能好好活著，不需依靠任何人。後來就遇見了J，一個和我完全相反的男人，在充滿愛的家庭中長大的小公主。在一起八年多，他可以包容我的一切，看見我懶惰邋遢醜陋歇斯底里低潮的所有面孔，也能跟著我回去阿嬤家，和不會說英文也不會說中文的阿嬤溝通、逗她開心。J：「好不容易學了中文，結果你阿嬤不會說中文」阿嬤：「要學台語！台灣話要會講，災某？」這個故事並不是在告訴大家找到完美的另一半人生才會得到救贖，恰恰相反，只有自己才能拯救自己的人生。接受無法改變的那些無常，唯一能做的就是珍惜和感謝那些還在身邊的人，提醒自己還擁有很多很多。,4.4 萬,629則留言
我是查理 I'm Charlene,2022年12月18日,精神滿滿的渡假狀態7點上一小時的瑜珈課8點吃了一個多小時的早餐再回房間泡個澡再躺在陽台上看書太放鬆了啊～～～,"1,156",5則留言
我是查理 I'm Charlene,2023年3月10日,這個新玩意兒，你一定要試試應該每個人都有擦過身體乳液吧就是長那樣，白白的乳液狀但今天這瓶真的完全不一樣！真的從沒看過這樣的身體乳妮維雅奇肌雙管精萃凝乳安瓶級的身體乳！質地有兩層外面那層透明的是修護保濕精華：維他命B5、玻尿酸、海藻糖就是我們平常拿來擦在臉上的保養品妮維雅直接拿來做成身體乳！是不是很誇張拿臉部保養品的成分來擦身體好奢華裡面那層白色的看起來是比較常見的乳液型態卻有添加專櫃級的安瓶精萃紫色 #注嫩瓶 煥膚安瓶精萃：二代果酸、神經醯胺銀色 #注白瓶 淨白安瓶精萃：維他命C、甘草根萃取橘色 #注young瓶 緊緻安瓶精萃：Q10、肌酸、茴芹果萃取因為最近開始天氣漸漸變暖準備要穿短袖、無袖、裙子不要到夏天才開始煩惱皮膚粗糙顆粒、背痘問題現在就要趕快保養解決！老實說我第一次擦 #注嫩瓶 的時候覺得也太清爽了吧是不是不夠力？很快就吸收完全不黏所以我質疑他是不是不夠保濕但我比較有擦和沒擦的手臂有擦的摸起來嫩很多真的有補水不是擦心酸的同時也測試在身體最粗糙的膝蓋上照片證明真的不誇張原本乾燥粗糙變得更柔嫩平滑值得一提的是「注嫩瓶」中用了最新成分「二代果酸」比一般果酸溫和擦了不會脫皮，也沒有不能曬太陽的問題想要改善皮膚粗糙問題的人可以試試雙管質地包裝讓內外雙管質地分開保存，使用時再新鮮混合產品背面貼心的幫你找好最佳按壓位置每次擠出都是最佳比例就很像先幫身體皮膚擦前導修護精華液再注入安瓶精萃的意思優點是很清爽，完全不黏！缺點是要讓自己的心態去適應這件事已經習慣擦乳液在擦這瓶的時候會覺得幫腿擦精華液是不是太奢侈？好險它沒有很貴趕快到入手 #注嫩瓶為今年夏天滑嫩肌膚做好準備！（銀色 #注白瓶 為屈臣氏獨家、橘色 #注young瓶 為寶雅獨家）NIVEA#妮維雅 #NIVEA #奇肌雙管精萃凝乳#安瓶級雙管身體乳 #注嫩瓶 #顆粒肌救星,325,2則留言
