標題,日期,內文,讚數,留言數
我是查理 I'm Charlene,2023年5月18日,某天我和J的睡前對話我：「我的朋友xxx，我覺得他好聰明，跟他聊天的時候有智商被碾壓的感覺。」J：「我也很聰明啊！我也是有念過柏克萊的人耶！」我：「但跟你相處真的沒有感覺你很聰明耶⋯⋯」J：「可能是我散發出一種stupid aura（很笨的氣場）吧。」我：「真的！像昨天你買了兩個熱騰騰的韭菜盒子，卻可以忍住不吃，說要等運動完再吃，我就稱讚說你好自律、克制力好強！結果你回我什麼？」J：「因為如果我現在吃了這個韭菜盒子，待會上瑜伽課會放屁。」本來對你的佩服景仰之情完全都沒了啦！真的不要怪沒有人覺得你很聰明都被你自己毀了啦,"3,569",33則留言
我是查理 I'm Charlene,2023年8月9日,新影片5顆我最愛的腮紅,131,1 則留言
我是查理 I'm Charlene,2022年12月11日,（圖文不符）想分享我確診後身體壞了了的故事在公園散步走路會喘，跟不上J的腳步（以前從來不會這樣）腦霧真的不是一般在開玩笑的笨，會忘記自己洗頭洗幾遍、貓咪餵藥了沒、出門忘記帶手機、剛剛在說什麼有人打岔就會完全忘記、發生過的事情會忘記。疲累大概活動三小時就像平常活動了12小時那樣累，我還累到直接坐在新光三越手扶梯上，真的站不起來了。背痛因為我本來姿勢就不正確，加上確診後肺活量變小，肩胛骨附近的肌肉開始代償，痛了一個多月，看了一個多月的物理治療才改善。過敏一開始是濕疹、異位性皮膚炎、脂漏性皮膚炎一起發作，吃了一週的西藥沒有改善，還爆發尋麻疹。又自費吃了7000多的中藥，但尋麻疹沒有緩解，太痛苦晚上癢到睡不著，今天衝去醫院打針。醫生開了重劑量的抗組織胺、類固醇和胃藥給我，希望可以撐過今晚希望大家都能健健康康的啊,"2,770",94則留言
我是查理 I'm Charlene,2023年11月12日,跟大家分享我昨天遇到的事走在路上時，看到迎面而來的老夫婦一直低頭看地上的某個東西我也隨著他們的目光想知道他們在看什麼結果原來是一隻蜥蜴是那種爬山常看到的蜥蜴出現在士林區的柏油路上的確有點奇怪我站在牠的2公尺外想著要怎麼把牠趕到路邊的草叢裡在柏油路上車子很多很危險我站在那裡猶豫了3秒看到剛剛老夫婦的那位先生也走過來我猜他也想把蜥蜴趕到安全的地方吧說不定他還敢徒手抓蜥蜴呢就在這時兩台摩托車突然經過蜥蜴閃過了第一台摩托車就在我感到慶幸時第二台摩托車直接把牠碾斃牠的身體還微微地抽動著有點能體會人家說的人生跑馬燈是什麼意思在那一瞬間世界真的慢了下來像是用了0.5倍速播放然後我就快速地走回家因為感覺情緒快潰堤了為什麼偏偏讓我看到這種事為什麼我動作這麼慢我在猶豫什麼早個十秒把牠趕到路邊就不會發生這種事了不是只是一隻蜥蜴嗎？有什麼好哭的想想加薩走廊的那些人他們更慘你怎麼沒為他們哭？你已經三十幾歲了為什麼還像個小孩子一樣脆弱？終於到家了我拿出鑰匙轉開門鎖開門關門然後灘在地上大哭這個世界有很美好也有很悲傷的一面我很感恩我還能過著平凡幸福的普通日子但對於那些不幸我能做什麼呢？,"1,745",36則留言
我是查理 I'm Charlene,2023年12月31日,2023年的最後一天期許明年的自己變成一個更灑脫、更自在的人我發現自己常常擔心、焦慮（比如說移民、買房這種事）但如果退遠一點看發現人生其實沒必要「太認真」怎麼樣都還是過得下去現在有的煩惱都是奢侈的煩惱我期許自己像玩RPG遊戲一樣隨心所欲、盡興地活出最有趣的一生已經準備好迎接更棒的2024了！新年快樂,"3,602",44則留言
我是查理 I'm Charlene,2023年1月28日,J說很喜歡我穿浴衣喜歡到說要買一套回台灣給我穿,"2,512",34則留言
我是查理 I'm Charlene,2022年12月21日,尋麻疹讓我悟到的人生道理最近莫名尋麻疹大爆發不只是身體有點癢癢而已而是像是有萬隻蟲在你皮膚表層下鑽又熱又癢癢的地方有一萬點！最後那些癢點全部腫起來連成一整片丘疹這片丘疹會讓人失去理智、狂打自己發作的地方真的覺得這可以當作古代的一種酷刑給犯人吃下高劑量尋麻疹藥丸完全不用打就會招了反正我就這樣度過了兩個痛苦的夜晚每晚就是腹式呼吸法+冥想把自己當作修行的僧侶不去抓不去理會這個癢才能入睡（但在入睡前已經狂抓+經歷過幾次心理崩潰）第三天終於受不了衝去醫院打針拿藥晚上癢的情形改善很多我也用同樣的方法觀察我的身體發現癢的地方大概有四個點我一直把注意力放在這幾個癢點上覺得又癢又想抓但明明跟前兩天那種萬蟲鑽身的痛苦比已經好很多了我到底為什麼還是因為這幾個小癢點而睡不著？！這讓我想到我的生活我的生活明明吃飽穿暖不用擔心流落街頭喝西北風但常常喜歡把注意力放在那幾件讓人不痛快的事情上什麼酸民攻擊啦、工作壓力大啊、買不到房啊等等已經放太多注意力在這我應該要從整體看自己以前的痛苦都撐過來了現在遇到這些都是小事就只是幾個癢點就靜心接受讓它過不要崩潰狂抓只會抓到破皮只要轉移注意力到那些讓人覺得舒服的地方「昨天大腿腫成一片，現在竟然變平了！」「以前要住在充滿蟑螂老鼠的環境，現在住的環境很乾淨很美很綠！」不要給壞事太多注意力，專注在好事上。繼續做該做的事、走想走的路，壞事自然會失去他的重要性。（此處我並沒有說壞事會遠離，因為有些壞事一直在那不是我們能決定的，我們能決定的只有該放多少注意力在上面。）除此之外還有另一件小事去看醫生的時候打了一針醫生開了不輕劑量的類固醇給我（他說一顆等於打一針的劑量）也開了抗組織胺和胃藥交代了什麼不能吃最後醫生說：「最重要的是多喝水。這些藥只是讓你不癢，無法解決根本的問題。要多喝水身體才能代謝掉體內毒素。」平常身邊的朋友說要多喝水我都當成耳邊風直到醫生鄭重其事宣布多喝水的重要性才開始狂灌2000cc親朋好友：「不是早就跟你說了嗎？」,"2,595",96則留言
我是查理 I'm Charlene,3月16日下午9:42,照片裡的小男孩我們大家一致認為他前途不可限量就因為他送了我一串香蕉事情是這樣的我們到中高年級的班上講一些鼓勵的話叫大家好好念書什麼的但我上台真的不知道講什麼我就隨便說了句：「我喜歡吃你們這裡的香蕉」跟台灣的香蕉不一樣酸酸甜甜的烤出來超好吃結果他隔天就帶了一串那種香蕉給我在海倫的盤問下才發現原來他根本不是中高年級的學生他是低年級的學生偷偷跑到中高年級的班上想聽我們說了什麼然後把我隨口說的一句話放在心上送了香蕉給我而我也回送了他文具組（鉛筆橡皮擦削鉛筆機）用一串香蕉換到這些真的值了！（因為這些文具在烏干達很貴）覺得他好聰明（朋友說以後應該很會把妹）,"8,135",38則留言
我是查理 I'm Charlene,2023年6月6日,工作時的真實對話攝影師是不是太誠實了拍洗面乳當然要全素顏才有誠意啊但全素顏又怕會嚇到你們真的很兩難freeplus 溫和淨潤洗面乳是日本Kanebo旗下保養品牌且對敏感肌友善無酒精、無香料、無色素、無paraben 防腐劑、無增稠劑在他還是舊版的時後我就推薦過多次了是很好用的開架胺基酸洗面乳（敏弱肌也可以用喔！）添加88%*高濃度胺基酸洗完臉很乾淨又舒服不會太乾太緊繃也不會洗完滑滑的真的是每個人都一定要嘗試的洗面乳！洗完真的會愛上自己的臉新品優惠折扣中 https://pse.is/4wlwr3#freeplus #溫和淨潤洗面乳 #我的必備肌本款*88%為胺基酸洗淨成分含量,807,12則留言
我是查理 I'm Charlene,2023年4月26日,一個人的旅行峇厘島瑜伽放空之旅vlog,827,8則留言
我是查理 I'm Charlene,2023年8月31日,在台灣的時候常常覺得工作很多、壓力很大、喘不過氣常常幻想在大自然裡休息到了瑞典以後每天都有美景可看但又開始想念各種台灣美食和炎熱的天氣仔細想想覺得自己這樣的個性就是不知足這樣不管到哪裡都不會快樂的我的人生課題就是「知足」二字！說起來很容易，做起來很難,"3,014",20則留言
我是查理 I'm Charlene,2023年3月13日,新學到的減齡拍照姿勢：蹲下來雙手捧臉果然少女感滿滿（23歲的小幫手教我的）不然我都擺一些很老氣的姿勢例如正面站好比,"6,388",42則留言
我是查理 I'm Charlene,2022年12月7日,阿嬤91阿公95我是個幸福的孫子,1.3 萬,90則留言
我是查理 I'm Charlene,2023年7月5日,最近最開心的事就是終於變瘦了！看到努力有了成果真的好感動這次變瘦的方法跟我以前用的不太一樣以前都是激烈不吃澱粉瘦很快但也很快復胖這次是慢慢變瘦的一個月大概瘦2-3公斤我沒有特別量體脂但褲子的確有變鬆以下提供我的方法1. 每週重訓一次，重訓一小時後，有氧30分（是的你沒看錯，我一週只運動一次）2. 每天一定會攝取足量蛋白質，自己的體重x1.2就是每天至少要吃的蛋白質克數。吃蛋白質可以增加身體燃燒的熱量，而且也不容易餓，比較不會吃完還想亂吃零食。3. 控制每天吃的熱量在基礎代謝附近。我會大概算一下吃進肚子的食物熱量，絕對不會高於基礎代謝太高。有時候嘴饞還是會吃小零食，但都是熱量低的零食。比如有次半夜我很想吃雞排鹹酥雞，但查了一下熱量，500-600卡，要跑步2-3小時才能消耗，我就不想吃了。4. 一週還是可以放縱自己吃2-3餐熱量高的食物或是甜點。吃得太飽以後我會去散步。我喜歡散步，因為這是最輕鬆的變瘦方法，走個15-30分鐘就能燃燒一點熱量。可以邊走邊聽音樂、聽podcast（我喜歡變走邊和J講幹話），時間一下就過了。5. 我還是會吃澱粉，地瓜或飯都會吃，儘量吃健康的原型食物，最喜歡吃能量小姐的便當，算是健康便當裡很好吃的了。以上是我的經驗，不一定是正確的，只是適合我，而且我覺得很舒服不會太痛苦。以前嘗試的方法太極端、太嚴格，根本無法堅持。這個方法很容易，不會餓肚子，主要就是控制吃進去的食物和熱量而已。就算有時候吃太多了趕快去散步一下燃燒熱量就好。希望大家都一起健健康康的,"4,213",24則留言
我是查理 I'm Charlene,2023年5月11日,剪髮啦 髮型師幫我剪宋慧喬同款,202,2則留言
我是查理 I'm Charlene,2023年4月18日,一個人的瑜珈之旅每天9點上一個半小時的瑜珈上完空腹喝杯西芹汁吃能量碗下午就去上冥想課、看書、喝咖啡或去按摩昨天還去逛了水晶石頭店太舒服了,"3,238",43則留言
我是查理 I'm Charlene,2023年4月2日,帶上一本書開車來到山上的咖啡廳曬太陽 玩貓 看書沒想到這間咖啡廳竟然只有我一個人意外包場了喜歡清幽的人也可以去走走真的很怕店家倒店耶,"1,485",6則留言
我是查理 I'm Charlene,2023年7月28日,夏天的斯德哥爾摩真的很舒服20度左右的天氣搭上大太陽這就是我的Jet Set 幸福日洋裝、包包 Michael Kors#mila #HowIJetSet #遨遊世界,"1,723",17則留言
我是查理 I'm Charlene,2023年5月1日,和阿公阿嬤一起度過快樂的時光多虧了 @jonas.tjd 真的對阿嬤好有耐心看了好感動還陪我帶他們去醫院兩次毫無怨言真的覺得嫁對人看到兩老都開心我也覺得暖暖的這樣的時光過一次少一次啊,"5,741",31則留言
我是查理 I'm Charlene,2022年12月15日,今天的特別來賓——小黑～真的好黑好難拍哦不過聖誕節還是要幫忙工作賺罐罐啦感謝小黑乾媽歐舒丹提供超可愛的聖誕吊飾彩球小屋和護手霜組合這個聖誕節真是太幸福啦！不到千元就能收集多款經典明星商品讓你聖誕節送禮絕不踩雷繽紛手霜分享組一次集齊6種味道的護手霜！每個包裝都超可愛這個我留著自己用捨不得送人太喜歡歐舒丹護手霜了含乳油木成分能滋潤雙手而且味道都很舒服尤其是這麽多口味結合在一起繽紛乳油木護手霜 繽紛乳油木金黃拿鐵舒芙護手霜（節慶限量，像鍋煮香料奶茶般的療癒香氣）洋梨玫瑰護手霜（也是節慶限量版本，男女都愛的清新花果香！）櫻花護手霜 馬鞭草護手霜 杏仁護手霜 冬天隨時都會感覺手乾，小ml數能夠隨身攜帶！小廢包也裝得下！還有可以當作聖誕吊飾的繽紛彩球小屋也有五種味道可以選最經典的乳油木、櫻花、馬鞭草一定要入手啊！裡面就是沐浴、身體乳和護手霜的組合也是實用到不行！大家可以試試用Line送禮真的好方便不用見面也不用郵寄就可以直接把禮物送到對方手上推薦送給那些太忙碰不到面的朋友現在買還有LINE點數20%回饋哦#歐舒丹 #LOccitane #歐舒丹送進心坎禮 送禮首選：https://lin.ee/4eGFkoe/wprsL'OCCITANE en Provence,403,3則留言
我是查理 I'm Charlene,2022年11月8日,這兩套穿搭你們喜歡哪一套？我自己很喜歡大學T那套看起來好年輕姐姐今年大學剛畢業哦也是我第一次嘗試白色厚底靴終於了解為什麼厚底鞋會紅起來因為穿起來腿超爆細！！！！而且底很厚看起來也比較高不要擔心會很重這雙超輕的！走起路來完全沒負擔好感俏皮．撞色車線厚底綁帶短靴另一雙就是所有女生都要有的短靴去韓國一天走十公里就是穿它耶好走好穿又顯瘦美麗零死角．素面方頭高跟瘦瘦靴而且D+AF這兩雙鞋我穿完全沒有磨腳的問題也完全沒有長水泡什麼的超讚穿搭款https://dafshoes.com.tw/ttIap11/8-11/12  D+AF雙11全館5折起https://dafshoes.com.tw/sJSnh,"1,498",15則留言
我是查理 I'm Charlene,2023年6月10日,出門的時候，你化妝包一定會帶哪樣彩妝？我一定一定會帶唇膏因為沒擦唇膏看起來氣色真的很差很像快暈倒最近喜歡在小紅書很紅的Sisley 植物閃耀水潤光唇它是非常水潤保濕光感的唇膏是一貫的Sisley貴婦價格一開始我還懷疑為什麼它這麼貴但擦了幾次以後發現它有一個別人沒有的優點一般的保濕唇膏掉色以後可能嘴巴又開始乾了但Sisley 這支唇膏就算掉色以後嘴巴還是超級保濕嘟嘟的而且擦了以後唇紋會比較不明顯非常神奇！效果根本比護唇膏還要好因為裡面添加了頂級植物潤唇霜讓你擦唇膏的同時也在保養越擦唇紋越不明顯！嘴唇乾或是唇紋深的人我大推這支！（我最愛12號可可奶茶色）6/15-6/21下單享養膚禮2件組 查理專屬再享卸妝液30ml>>https://bit.ly/45TjH2x立即填單先試再買>>https://bit.ly/3qLulsjSisley Paris#Sisley保養系彩妝 #植物閃耀水潤光唇膏 #潤唇霜口紅 #一抹隱形唇紋#女神水潤光 #植物精華唇膏,815,8則留言
我是查理 I'm Charlene,2023年8月3日,今天是我第一次自己做肉桂捲以前J媽或J嬤會跟我一起做但這次我説想自己做做看結果光是揉麵團就揉了30分鐘⋯我問J媽到底要揉多久才好？（崩潰她說她平常10分鐘就揉好了看到我有點沮喪J媽安慰我說：「我做這麼快是因為我只把這個當作一個待辦事項，所以想趕快做完。但是你是在享受這件事，所以不一樣。」聽完覺得J媽的情商真的好高哦！難怪J也這麼會講話總之是手已經「鐵手」但很滿足的一天,"8,202",58則留言
我是查理 I'm Charlene,2023年11月21日,最近愛用的早c晚a保養品來了！早上很簡單，每天就是那3瓶城野醫生VC100精華水— 修麗可CE精華—pony妝前防護乳晚上按照順序是Innisfree 綠茶精華—A醇—雅漾B3霜—眼霜A醇那個步驟，我一週會換成1-2次的理膚寶水三重酸精華A醇我用最多的是Innisfree 的因為它濃度最低最溫和但還是看得到效果主要是針對粉刺、肌膚變平滑的部分很有感用了一陣子我才開始換成契爾氏A醇（濃度0.1%）這瓶主要是撫紋、抗老比較有感然後一週1-2次會把A醇這個步驟換成三重酸精華對於去粉刺痘痘很有感！以上就是我的早C晚A保養步驟,"1,745",28則留言
我是查理 I'm Charlene,2023年9月23日,因為J喜歡游泳他幾乎每天都會去游泳池游3公里（泳渡日月潭的距離）在耳濡目染之下我覺得自己不能再這樣廢下去了就去我家的游泳池游了一次游完以後我：「天啊！我今天竟然用自由式游了6趟！我竟然會換氣了，好感動」J：「你進步很多，很棒！」我：「6趟是多遠啊？」J：「大概300公尺。你游了多久？」我：「半小時吧！」J：「你知道300公尺我要游多久嗎？」我：「我不想知道。」J：「我大概5分鐘就能游完。」我：「#%^+¥£*#（髒話消音）」@jonas.tjd,"4,078",44則留言
我是查理 I'm Charlene,2023年5月30日,我的老公今天和別人心電感應了…今天早上J問我這句話的中文怎麼講？How’s the impact of typhoon there?我：「你要問誰？」J：「我想問海仁他們在綠島怎麼樣。」3秒後J：「天啊！海仁剛剛傳訊息給我，說他要送我一件衣服！」我：「就在剛剛你和我說話的時候嗎？」J：「對啊！我們同時在想著對方」我：「….」該慶幸跟他有心電感應的人是個男生嗎？Ps. 海仁是J的潛水教練，J對他讚不絕口，一直說他是一個可靠的男人，可以把自己的命交給他話說我自己心電感應的經驗是和前男友，好幾年前，已經分手後，卻忽然同時傳訊息給對方，我在台灣，他在加拿大。真的很玄你們有心電感應的經驗嗎？,"1,372",7則留言
我是查理 I'm Charlene,2023年4月23日,從峇里島飛回來看動力火車的演唱會聽到當和彩虹的時候真的一直掉眼淚能聽到他們好幸福（謝謝給我票的你）,"5,762",31則留言
我是查理 I'm Charlene,2023年3月20日,最近的我很想隱居很想去峇里島學瑜珈去西藏旅行去尼泊爾爬山最近又重新開始看房看的地點是山上但山上的缺點就是可能過幾年後價錢下跌很難賣理智告訴我還是地點好的地方比較保值但感性又想住山上好難啊,"3,326",87則留言
我是查理 I'm Charlene,1月28日,冬天的湖結冰本來要坐船才能到小島上現在可以直接走過去我還滑倒真實的心情依然在最後一張照片,"2,134",24則留言
我是查理 I'm Charlene,2023年10月21日,疫情前曾經去過京都的一家日本茶房可以一邊喝抹茶一邊坐在一整片窗前觀賞日式庭園景觀但是這次去京都時卻發現那間茶房關了只好在網路上找了這個地方有美麗的日式庭園景觀但是喝茶的地方挺小的抹茶也普普通通但是楓葉季時應該會很美吧,459,3則留言
我是查理 I'm Charlene,2023年7月5日,最近最開心的事就是終於變瘦了！看到努力有了成果真的好感動這次變瘦的方法跟我以前用的不太一樣以前都是激烈不吃澱粉瘦很快但也很快復胖這次是慢慢變瘦的一個月大概瘦2-3公斤我沒有特別量體脂但褲子的確有變鬆以下提供我的方法1. 每週重訓一次，重訓一小時後，有氧30分（是的你沒看錯，我一週只運動一次）2. 每天一定會攝取足量蛋白質，自己的體重x1.2就是每天至少要吃的蛋白質克數。吃蛋白質可以增加身體燃燒的熱量，而且也不容易餓，比較不會吃完還想亂吃零食。3. 控制每天吃的熱量在基礎代謝附近。我會大概算一下吃進肚子的食物熱量，絕對不會高於基礎代謝太高。有時候嘴饞還是會吃小零食，但都是熱量低的零食。比如有次半夜我很想吃雞排鹹酥雞，但查了一下熱量，500-600卡，要跑步2-3小時才能消耗，我就不想吃了。4. 一週還是可以放縱自己吃2-3餐熱量高的食物或是甜點。吃得太飽以後我會去散步。我喜歡散步，因為這是最輕鬆的變瘦方法，走個15-30分鐘就能燃燒一點熱量。可以邊走邊聽音樂、聽podcast（我喜歡變走邊和J講幹話），時間一下就過了。5. 我還是會吃澱粉，地瓜或飯都會吃，儘量吃健康的原型食物，最喜歡吃能量小姐的便當，算是健康便當裡很好吃的了。以上是我的經驗，不一定是正確的，只是適合我，而且我覺得很舒服不會太痛苦。以前嘗試的方法太極端、太嚴格，根本無法堅持。這個方法很容易，不會餓肚子，主要就是控制吃進去的食物和熱量而已。就算有時候吃太多了趕快去散步一下燃燒熱量就好。希望大家都一起健健康康的,"4,213",24則留言
我是查理 I'm Charlene,2023年11月1日,一個月內去了兩次韓國、一次京都最後再抽空回埔里看阿嬤阿嬤今天臉臭因為她覺得自己的髮型很醜果然女人不管到幾歲還是很在意自己的外表,"4,713",24則留言
我是查理 I'm Charlene,2023年6月21日,最近的新聞讓人感到沮喪但是別忘了這個世界還是有美好的一面每次翻開達賴喇嘛的書都會從中得到力量真的非常神奇會覺得心中充滿愛而且會想把這些愛也分享給在乎的人我不是藏傳佛教徒但已經被他的文字救贖了好多次這本書是繪本大概20分鐘就能看完但從中得到的力量卻是無限的#查理愛書推薦#從心開始,"4,099",56則留言
我是查理 I'm Charlene,2023年7月19日,在瑞典餐廳點了這杯酒結果被店員要求出示身分證因為她懷疑我未滿18歲我充滿笑容地遞給店員我的護照阿姨已經30幾歲了哦I'm Jonas,"7,472",43則留言
我是查理 I'm Charlene,2023年2月3日,很多人都覺得外國人容易長得比較臭老一點我自己是不在意但J很擔心會不會再過幾年跟我出去的時候會被當作是父女所以晚上我在擦保養品的時候他就會說：「不管你在擦什麼都給我來一點」所以J到現在狀態還是維持得很不錯最近天冷我擦的就是我最愛的韓國保養品牌雪花秀喜歡到還自己掏錢買（明明家裡的保養品一堆）但真的太好用了咩之前在韓國做過一次雪花秀旗艦店的spa就變成鐵粉皮膚變成會反光的水光肌立馬結帳買了 #滋陰蔘回彈霜強烈推薦30歲以上的乾肌用看看這瓶有雪花秀專利成分滋陰蔘賦活極萃從人蔘中萃取出來的精華可以讓皮膚更加緊實有彈力我自己用完的感覺是保濕度非常棒早上起床後完全吸收看起來像睡得很飽皮膚緊實飽滿有光澤（不是油光）冬天的時候超愛擦這瓶味道也是我愛的漢方人蔘味擦起來很療癒乾肌一定會愛慘！早上睡醒狂照鏡子驚呼真的太神奇了另一瓶精華「#滋陰蔘緊膚晶萃」同樣添加了專利成分滋陰蔘賦活極萃味道也是雪花秀好聞的漢方人蔘味質地保濕滋潤但不會黏偏乾肌擦起來很舒服用了一陣子最大的感覺就是皮膚摸起來變細了有時候皮膚不好摸起來會很粗糙不平但我用它以後摸自己的臉發現皮膚細緻度提升了變得比較平滑而且嫩推薦大家去領試用版用用看！官網填單兌換體驗組: https://bit.ly/3XR227i官方販售通路: 百貨專櫃/官方網站/MOMO/蝦皮旗艦店 Sulwhasoo#雪花秀 #Sulwhasoo #即刻拉緊人蔘0距離,"1,411",14則留言
我是查理 I'm Charlene,2022年12月19日,現在 vs. 三年前第二張照片是2019/12/08拍的還記得當時在這個陽台上看鯨吞億萬看到捨不得出門這是我們待過最喜歡的飯店但沒幾個月過後疫情就開始了3年後終於舊地重遊很開心飯店沒倒！服務還是一樣好唯一改變的就只有我確診後身體爛掉而已過敏吃類固醇不能喝酒不能吃堅果香蕉芒果鳳梨蝦子再見了冬陰功湯香蕉煎餅芒果糯米鳳梨炒飯,773,12則留言
我是查理 I'm Charlene,2023年5月9日,甜系vs. 辣系，你喜歡哪一個？我覺得辣系好難哦因為要露這露那除了辣還要自律耶不像甜系可以穿洋裝遮肚子甜系腳上穿的是近期很流行的瑪莉珍鞋穿上立馬變成乖乖女感覺再搭配蕾絲襪就立馬回到小學！（有人小時候也有穿過那種花朵蕾絲襪子嗎？好懷念哦）辣系腳上穿的是4cm厚底懶人帆布鞋這雙懶人鞋我有一雙白色一般底款真的很方便耶我通常都是出門倒垃圾、去超市、領包裹的時候穿一穿就能出門厚底款更顯高而且懶人鞋的設計可以露出腳跟看起來更顯腿長這雙鞋我都是在家裡附近活動時穿如果要走遠路、跑跑跳跳的話建議還是穿球鞋哦D+AF現在有母親節活動全館五折起快去逛逛https://daf.shoes/ZuFge 復古女伶．花形金釦方頭瑪莉珍 樂活主題．休閒帆布厚底穆勒鞋,789,19則留言
我是查理 I'm Charlene,2022年11月18日,前幾天找整理師來整理房間我：「我東西是不是很多？」她：「跟我其他客戶比起來其實還好。」我：「真的嗎？你不覺得我衣服很多嗎？」她：「是你的衣櫃太小所以衣服才會炸出來。」我：「但我快搬家了所以不想花大錢買新的衣櫃和儲物櫃。」她：「推薦你買IKEA的吊衣桿，才499，可以掛那些穿了一次還不用洗又不想放進衣櫃的衣服。」通常我都把這些衣服堆在椅子上，看起來真的很邋遢，原來這個問題499就能解決了。立馬衝來IKEA,"2,813",61則留言
我是查理 I'm Charlene,2月11日,大家新年快樂呀昨天煮了一桌子菜結果還沒拍照就被吃了一張照都沒拍到這個新年買了車開始幫小黑織一件衣服好期待織好以後的樣子,"2,839",18則留言
我是查理 I'm Charlene,2023年12月5日,全臉開架彩妝韓國爆紅Lilybyred,65,3則留言
我是查理 I'm Charlene,2023年5月1日,和阿公阿嬤一起度過快樂的時光多虧了 @jonas.tjd 真的對阿嬤好有耐心看了好感動還陪我帶他們去醫院兩次毫無怨言真的覺得嫁對人看到兩老都開心我也覺得暖暖的這樣的時光過一次少一次啊,"5,741",31則留言
我是查理 I'm Charlene,2023年9月29日,中秋節快樂這個中秋最難的就是告訴阿嬤我要移民去瑞典這件事不過我跟阿嬤說完以後她沒有什麼特別的反應只說：「我要去廚房切筍子了。」我：「我再兩小時就要回台北了耶，你要去切筍子嗎？」阿嬤：「那我在客廳切。」所以我就在客廳看她切筍子切了好久,4.6 萬,342則留言
我是查理 I'm Charlene,2023年8月15日,瑞典森林裡的菇菇特輯,"3,813",51則留言
我是查理 I'm Charlene,2023年3月8日,這陣子因為荷爾蒙的關係所以情緒很低落Jonas竟然破天荒地說：「要不要我去斯德哥爾摩買香奈兒給妳？」你們猜我怎麼回答？我：「不用了，我最近對貴的東西沒興趣。」結果他嚇歪，叫我再說一次他想錄音起來以後我買包的時候重複播放,"9,044",59則留言
