標題,日期,內文,讚數,留言數
我是查理 I'm Charlene,2022年11月1日,大概一個月前得了新冠雖然好了但我發現常常吃東西吃到一半還是會失去味覺和嗅覺然後就會慌張地去做快篩顯示陰性這是新冠的後遺症嗎？有人也是這樣嗎？Ps. 今天全身都是韓國戰利品（包包除外）在韓國拍了好多影片還在努力剪片中,551,27則留言
我是查理 I'm Charlene,2023年11月12日,跟大家分享我昨天遇到的事走在路上時，看到迎面而來的老夫婦一直低頭看地上的某個東西我也隨著他們的目光想知道他們在看什麼結果原來是一隻蜥蜴是那種爬山常看到的蜥蜴出現在士林區的柏油路上的確有點奇怪我站在牠的2公尺外想著要怎麼把牠趕到路邊的草叢裡在柏油路上車子很多很危險我站在那裡猶豫了3秒看到剛剛老夫婦的那位先生也走過來我猜他也想把蜥蜴趕到安全的地方吧說不定他還敢徒手抓蜥蜴呢就在這時兩台摩托車突然經過蜥蜴閃過了第一台摩托車就在我感到慶幸時第二台摩托車直接把牠碾斃牠的身體還微微地抽動著有點能體會人家說的人生跑馬燈是什麼意思在那一瞬間世界真的慢了下來像是用了0.5倍速播放然後我就快速地走回家因為感覺情緒快潰堤了為什麼偏偏讓我看到這種事為什麼我動作這麼慢我在猶豫什麼早個十秒把牠趕到路邊就不會發生這種事了不是只是一隻蜥蜴嗎？有什麼好哭的想想加薩走廊的那些人他們更慘你怎麼沒為他們哭？你已經三十幾歲了為什麼還像個小孩子一樣脆弱？終於到家了我拿出鑰匙轉開門鎖開門關門然後灘在地上大哭這個世界有很美好也有很悲傷的一面我很感恩我還能過著平凡幸福的普通日子但對於那些不幸我能做什麼呢？,"1,745",36則留言
我是查理 I'm Charlene,2023年10月17日,旅行的時候我喜歡去一些冷門景點人比較少也更自在京都衹王寺就是其中之一小小的但是長滿了青苔身為重度青苔愛好者非常喜歡這裡等到楓葉季時一定更美上次說的老奶奶餐廳就在這附近餐廳叫Jurakuan但這兩處都不是「超美超好吃」、「必去」的地方哦因為我喜歡的東西好像就是比較平凡一點我覺得很美的京都腳踏車之旅也被你們說成南投菜園,"1,968",17則留言
我是查理 I'm Charlene,2023年10月5日,今天的我，被日本人救贖了！今天從台北飛京都剛到京都的飯店就發現我的手機不見了⋯⋯沒錯，又不見了！兩年前我把手機忘在機場這次我把手機忘在計程車上發現的時候計程車司機早就開走了我在飯店跟櫃檯人員反應的時候腦子一片空白接下來還要去韓國出差該怎麼辦啊結果過不到10分鐘他們大廳人員滿臉笑容地說：剛剛計程車司機開車幫我把手機送回來了！我馬上問司機還在不在，我要去跟他下跪！真的太感謝他了！但飯店人員說他送回手機就走了嗚，真的很謝謝司機，完全不求回報，我連一聲謝謝也沒機會說J：「如果在瑞典，你的手機絕對找不回來。」感謝好心的日本司機,"7,483",50則留言
我是查理 I'm Charlene,3月7日下午9:24,搬到瑞典後感覺像在過退休生活懶洋洋的不想工作所以本來不想接這個保養品試用的（懶到極致）但是公關一直說這瓶多好用多好用、在歐洲賣超好、一定要用用看所以我就開啟了試用之路比較特別的是LUMINOUS630淡斑煥白系列主要的美白淡斑成分不是我們常見的那些菸鹼醯胺、傳明酸、熊果素那些而是妮維雅自己研究出來的成分「LUMINOUS630」是他們研究了10年，從50000種中找到表現最好的編號630美白成分這個獨家專利美白成分有被衛福部認證所以大家可以相信它的效果#L630淡斑精華就是歐洲上市銷售第一的美白淡斑精華成分除了LUMINOUS630之外還加了維他命C、維他命E、玻尿酸改善斑點暗沉的同時，還能補水保濕用起來的感覺是雖然是淡斑精華但我覺得有到乳液的滋潤度保濕度很強味道香香的實驗證實敏感肌可用皮膚感覺是整體的透亮感有提升最明顯的是素顏拍照的時候蘋果肌的地方笑起來會亮到反光真的有點扯而且皮膚細緻度也有提升經研究發現這瓶最強的是對抗黃褐斑或是如果有痘疤瑕疵也可以用這罐解決同系列還有 #L630亮眼霜除了專利美白成分LUMINOUS630外還添加了咖啡因子、維他命C兩大成分對抗黑眼圈再加玻尿酸讓眼周明亮同時保濕#L630封白霜質地是凝凍狀乳木果油和小分子玻尿酸用起來不會厚重黏膩蠻適合混合肌到乾性肌膚使用的趁現在打折這瓶妮維雅全新推出的L630淡斑精華剛好可以千元拿下哦也可以搭配L630淡斑煥白3步驟做更完整的淡斑美白保養！L630亮眼霜>L630淡斑精華>L630封白霜還有momo X 妮維雅獨家優惠，限量送美容棒 https://reurl.cc/13LRgV#妮維雅 #L630淡斑精華 #LUMINOUS630#綻放無瑕淨白光 #L630 #敏感肌適用 NIVEA,956,2則留言
我是查理 I'm Charlene,2023年3月9日,你們喜歡今天這種主題的影片嗎？怕一般化妝太無聊所以加上一點小挑戰,152,1 則留言
我是查理 I'm Charlene,2022年10月27日,因為年紀越來越大很怕皮膚越來越差、越來越垮各種醫美（音波電波皮秒等等）我都嘗試過好多次錢花了很多卻覺得效果越來越不明顯所以又回到最基本的老方法注意吃進肚子裡的東西、運動、良好的生活習慣還是天天認真擦保養品最近在保養過程中加入了刮痧的步驟除了很舒服紓壓以外水腫的情形也能稍稍改善刮痧的時候喜歡搭配伊麗莎白雅頓的白茶雙效修護精華上層是白茶精油 下層是白茶萃取物和彩虹海藻精華雖然有含油的成分卻非常清爽質地像水一樣流動性很高完全沒有想像中的油膩感用它搭配刮痧板非常剛好刮完臉變得很亮很緊實味道也很好聞刮完痧以後如果比較偏乾肌的人可以再擦上白茶賦活水凝霜這個霜我超喜歡！擦的時候裡面的微珠一顆一顆爆開，有夠療癒！添加可使肌膚明亮的歐白芷根萃取物保濕度很夠還可以當凍膜使用我自己喜歡拿來擦在頸部因為我頸紋比較深擦這個霜很舒服質地水潤不黏但滋潤度又很夠對於乾紋細紋改善很有感~我想乾肌會很愛這個產品敏感肌也適合想要嘗試刮痧的人非常推薦搭配這兩個產品讓臉又彈又亮最近百貨周年慶這兩款都有限定優惠這時候買還送同系列的眼膠5ml+白茶香水10ml推薦大家全台百貨專櫃/官網線上購物/MOMO/YAHOO都買得到喔免費兌換試用包 http://www.jag-campaign.com/arden202208/#白茶雙效修護精華 #白茶小方瓶 #白茶賦活水凝霜 #白茶小凝磚 #伊麗莎白雅頓 #ElizabethArdenTaiwan,507,7則留言
我是查理 I'm Charlene,2023年10月30日,首爾最喜歡的地方應該就是三清洞了吧剛好銀杏變黃好浪漫啊很悠閒而且有好多咖啡廳走在路上就像拍韓劇一樣,"1,698",7則留言
我是查理 I'm Charlene,2023年4月27日,之前確診過後頭髮一直掉後來開始打排卵針頭髮也掉本來我沒注意是髮型師在幫我洗頭的時候才說：「你頭髮好像變少了耶⋯⋯」我認真回想以前綁頭髮綁兩圈就夠緊現在要綁三圈果然是頭髮變少了立馬開始更認真擦頭皮保養精華！之前我拍過一支頭髮保養的影片裡面推薦過這瓶Sisley賦活重升髮精華我都是洗頭完會擦這瓶在頭皮上一次大約使用一管的量滴在頭皮上再用指腹按摩我用過不同牌子的頭皮精華Sisley 這瓶的優點是質地很清爽有些質地會黏黏的搞得頭髮也黏但這瓶沒有這個問題水狀質地擦起來還有點微微涼感味道也好聞不會臭臭的也不會太香只是頭皮精華就是要堅持使用幾個月才能看見效果我現在用了半瓶左右頭頂有長出一些小細毛用它按摩完頭皮吹乾頭髮頭髮也會變得比較蓬鬆我會繼續用完這瓶重新變回髮量王者母親節Hair Rituel全館9折https://bit.ly/3N2JNcCHair Rituel by Sisley#百大頂級設計師聯名推薦 #養髮神器 #賦活重升髮精華,839,6則留言
我是查理 I'm Charlene,2023年8月23日,今天和J和J媽一起去划船我：「欸，這時候就可以問，如果我跟你媽掉進水裡，你會救誰？」J：「當然是救你啊，你又不會游泳。」J媽：「對啊，我會游泳，不用他救。」我：「我就廢」,"7,366",42則留言
我是查理 I'm Charlene,2023年11月21日,最近愛用的早c晚a保養品來了！早上很簡單，每天就是那3瓶城野醫生VC100精華水— 修麗可CE精華—pony妝前防護乳晚上按照順序是Innisfree 綠茶精華—A醇—雅漾B3霜—眼霜A醇那個步驟，我一週會換成1-2次的理膚寶水三重酸精華A醇我用最多的是Innisfree 的因為它濃度最低最溫和但還是看得到效果主要是針對粉刺、肌膚變平滑的部分很有感用了一陣子我才開始換成契爾氏A醇（濃度0.1%）這瓶主要是撫紋、抗老比較有感然後一週1-2次會把A醇這個步驟換成三重酸精華對於去粉刺痘痘很有感！以上就是我的早C晚A保養步驟,"1,745",28則留言
我是查理 I'm Charlene,2023年5月9日,甜系vs. 辣系，你喜歡哪一個？我覺得辣系好難哦因為要露這露那除了辣還要自律耶不像甜系可以穿洋裝遮肚子甜系腳上穿的是近期很流行的瑪莉珍鞋穿上立馬變成乖乖女感覺再搭配蕾絲襪就立馬回到小學！（有人小時候也有穿過那種花朵蕾絲襪子嗎？好懷念哦）辣系腳上穿的是4cm厚底懶人帆布鞋這雙懶人鞋我有一雙白色一般底款真的很方便耶我通常都是出門倒垃圾、去超市、領包裹的時候穿一穿就能出門厚底款更顯高而且懶人鞋的設計可以露出腳跟看起來更顯腿長這雙鞋我都是在家裡附近活動時穿如果要走遠路、跑跑跳跳的話建議還是穿球鞋哦D+AF現在有母親節活動全館五折起快去逛逛https://daf.shoes/ZuFge 復古女伶．花形金釦方頭瑪莉珍 樂活主題．休閒帆布厚底穆勒鞋,789,19則留言
我是查理 I'm Charlene,2023年10月22日,"最近我身邊的朋友一直嚷嚷：好想談戀愛哦～我：「你怎麼每到秋冬就想談戀愛？」友：「因為天氣冷了就想找個人來取暖啊！」我：「穿厚一點不行嗎？」（這個直男發言？？）我身上這件Nike絨毛外套就超厚的啊像泰迪熊一樣超保暖就像有人抱著你就算寒流來單身也沒關係了啦加上這個秋天楓葉色真的太可愛了腳上的跑鞋是Nike Revolution 6超輕超好穿不只可以穿著運動逛街走幾萬步也沒問題各大百貨週年慶NIKE門市指定款式6折起這件絨毛外套跟跑鞋一起帶走剛好$3,050!!買更多還有消費滿額禮滿5,800元，即贈Nike兒童後背包滿7,200元，即贈Nike旅行袋滿12,800元，即贈Nike後背包#Nikeootd #好動狂歡慶",775,3則留言
我是查理 I'm Charlene,2月4日,週末去湖上滑冰玩的是一種叫Spark的車有點像滑板車但是是在冰上踢的影片放在留言處,"1,483",5則留言
我是查理 I'm Charlene,2023年7月9日,陪朋友去逛畫廊她在考慮買這幅畫我看到標價19500，說：「不貴啊，為何不買？」友：「是美金。」我：「不好意思打擾了」韓國畫家權純益的作品「隙－積・研」系列在白石畫廊,"3,329",13則留言
我是查理 I'm Charlene,2023年5月3日,#查理愛書推薦 這本書我愛到為它單獨拍了一支影片#最後一次相遇我們只談喜悅 真的改變了我的人生觀而且當我決定做出改變後生活中也會發生奇怪的事比如我決定「不再當個害羞封閉的人要成為主動幫忙別人的人」我以前是那種上課想上廁所不敢舉手寧可憋尿到下課的人所以主動去幫助別人我也會很害怕或害羞但自從決心改變以後幾乎每天都會被我遇到需要我幫忙的事走在路上遇到撿回收的阿嬤回收的紙箱和鐵罐被大風吹走我和另一個路人就在馬路中間幫她追那些滾來滾去的鐵管和紙張撿的時候我還跟路人說我們會不會被車撞畢竟我們蹲在馬路中間啊不過好險沒事機車騎士繞過我們沒被撞又或是在路上看到一台突然拋錨的車子和朋友下車去幫他推車雖然我很瘦小可能幫助不大但有四個女生幫他推車他笑得很燦爛連續幾天遇到這種事都覺得太神奇了吧總之「喜悅」這本書是本修煉內心的書像是一本指南一樣可以重複翻閱看完喜悅後我開始看一行禪師早期很經典的 #正念的奇蹟這本書主要是具體地教我們如何活在當下專注在每一個呼吸比方說洗碗這件事每次洗碗我都想要趕快洗完想著我很忙待會還要幹嘛幹嘛或是洗一洗很生氣為什麼又是我洗？老公都不洗碗但用正念的方法以後就不再那麼急躁了可以提醒自己慢下來不管是做任何事，都是生命最重要的時刻——當下。#轉山 這本書比較像是遊記20出頭的台灣男子在冬天從雲南騎單車到拉薩翻越五千多米的高山像苦行僧一樣在西藏窮遊我覺得我年紀太大所以這個故事打動不了我實在是太受苦了老骨頭吃不消可能光是坐車在西藏十幾個小時我也會哀哀叫不過如果是我年輕的時候看到應該會覺得很熱血也想去旅行吧,"1,454",18則留言
我是查理 I'm Charlene,2023年1月15日,昨天我和J的對話J：「剛剛滑雪的時候，我和一個很可愛的女生對到眼耶！我滑經過她的時候，她在看我，然後我轉頭想找你在哪，結果那個女生也轉頭對我笑。」我：「是那個妝很濃坐在路邊穿粉色衣服的snowboarder嗎？」J：「對，她對我笑的時候，你從她後面的下坡用雪仗一路‘’兔‘’（台語）上來，看起來超累，對比好大。」我：「誰叫你要指錯路害我要爬上坡！」滑了一整天後我：「我們今天滑了五個半小時耶！超好玩！你最喜歡哪個部分？」J臉上突然露出了一抹嬌羞的笑容我：「⋯⋯我是問你最喜歡哪條雪道！不是哪個女生！！！今天跟你滑了五個小時都白滑了！」J：「沒有啦！今天最好的部分是我在有蓋子的那個纜車上親你。」我：「有蓋纜車你坐我左邊，但你親我的時候坐我右邊，你根本不記得你在哪裡親我！！！」我：「上次在韓國，你也是跟別的女生這樣對眼調情。」J：「不是韓國，是在日本京都車站的咖啡廳裡。」我：「為什麼這種事情就記得這麼清楚」J笑歪：「我這該死的腦袋為什麼要這樣背叛我！」,"5,727",45則留言
我是查理 I'm Charlene,2023年10月18日,首爾vlog,68,1 則留言
我是查理 I'm Charlene,2023年9月22日,上週日的二手拍捐款明細來了扣除場地和人事費用後總共募到49萬多我和 @patty11266924 再湊到50萬一起捐出各15萬給華山基金會和蘋果慈善基金會10萬給台中的狗園還有10萬會捐給下週  @jonas.tjd 會開啟的非洲蓋學校計畫衷心感謝所有參加的人，也感謝各品牌的愛戴，愛你們,"3,592",30則留言
我是查理 I'm Charlene,2023年12月16日,帶著二貓移民瑞典現在人在阿姆斯特丹轉機飛了14小時20分可以感覺到小黑是來報恩、臭寶是來報仇的小黑全程超乖超安靜臭寶叫不停餵了3顆獸醫給的鎮靜劑也沒用還尿尿在籠子裡但又很心疼她要跟我們飛這麼久希望能順利熬過接下來的2小時飛行+3小時車程,"6,486",63則留言
我是查理 I'm Charlene,1月28日,冬天的湖結冰本來要坐船才能到小島上現在可以直接走過去我還滑倒真實的心情依然在最後一張照片,"2,134",24則留言
我是查理 I'm Charlene,2023年1月2日,2023的第一天，麻將我就先輸了110元，謝囉！2023祝每個人都平平安安、健健康康、荷包滿滿、心想事成,"1,018",10則留言
我是查理 I'm Charlene,3月13日下午8:54,來肯亞看動物最開心看到的就是可愛的小獅子和小獵豹其實獅子算是蠻容易看到的因為他們是群居動物數量有到幾百隻但是獵豹和花豹數量非常非常少要人品爆發才能看到看到這隻獵豹媽媽和她的兩個小孩時領隊告訴我們獵豹沒有固定領地所以他們會不停地移動尋找安全的地方但周遭危機四伏尤其是獅子數量龐大像這隻獵豹媽媽本來有五個小孩但其他三隻被獅子咬死了只剩照片裡的這兩隻一個單親媽媽根本不是整個獅群的對手因為獵豹交配完以後公豹就走了只剩母獵豹一個人帶小孩要帶到小豹三歲左右學會打獵才能獨立我們看到牠的時候牠想打獵但遠處有隻鬃狗鬃狗會把牠獵到的食物偷走所以牠一直遲遲沒有行動整個過程牠一直左顧右盼沒有絲毫鬆懈只能說單親媽媽真的太難了！不只是獵物會被搶走就算獵到食物在吃東西的時候也是最容易被獅子攻擊的時刻獅子會從背後攻擊獵豹他們最主要的目標就是母獵豹因為媽媽一死她的小孩根本無法在草原生存所以獵豹數量越來越少導遊說曾經有過一隻母獵豹被獅子咬死剩下的獵豹寶寶也全都死了我們問：「為什麼不救那些寶寶？」導遊：「就算救了牠們，牠們也會失去在大草原生活打獵的能力，將來就只能送去動物園，關在動物園的日子有比較好嗎？」車上的大家都沈默了，我們安靜地在車上看著這隻疲憊的母獵豹，心裡期待她能開啟狩獵的行動，但遠方的鬃狗遲遲沒有離去，我們也只能開著車走了，只見母獵豹的身影越來越小，消失在地平線中。Photo by I'm Jonas,"2,095",17則留言
我是查理 I'm Charlene,2023年12月14日,愛死今天的妝容尤其是眼影！！！看看那個波光粼粼的閃度有歐美眼影盤的顏色度也有日系眼影的精緻感這盤是Laura Mercier的金燦星空九色眼彩盤中間的酒紅色拿來當眼線色也超美還有我的臉上和身上都用他們家的金燦星空三色亮彩盤這個打亮omg亮到外太空又亮粉又細缺點就是太大盤！一盤1890 可能這輩子都用不完可以拿來大肆在鎖骨上打亮也可以拿來當眼影一盤萬用，公克數換算下來cp值很高底妝用的是今年新推出的極致煥顏輕透完美粉底這瓶在網路上比較少看到心得使用下來的最大感受就是他的薄透度薄薄一層透亮在皮膚上質地滑順不乾，但也不會油膩混合偏乾肌用起來覺得很舒服妝感是很自然的裸霧光遮瑕力8-8.5成持妝力也蠻好的是一瓶一年四季都可以用的粉底液至於蘿拉蜜思家的蜜粉已經蟬聯好幾屆年度愛用冠軍因為它非常持妝！粉也細緻粉紅色的蜜粉更是能自然地提亮膚色克數換算下來其實價格已經逼近開架蜜粉覺得他是蜜粉屆公道伯好用價格又合理！我一直都很喜歡蘿拉蜜思家的東西（尤其是我已經用了N條的遮瑕）他們家東西都很好用價格以專櫃來說很合理只是少了華麗浮誇的包裝和廣告預算大家好像對這牌子都會默默經過希望大家可以靠櫃真的上到臉上去感受它的產品才會發現它的好,890,10則留言
我是查理 I'm Charlene,2022年11月24日,今天和J去打保齡球第一局打了好多全倒後來就變超爛一直洗溝我一直找藉口我：「我的手沒力了啦！」「指甲太長了啦！」「我的背很痛。」J：「我看是你的新手運用完了吧」,782,7則留言
我是查理 I'm Charlene,2023年8月20日,昨天穿這樣去J爸的音樂聚會結果好多人都來問我們是不是要結婚了首圖比愛心的姿勢還是J媽叫我們比的看起來真的很像婚紗照,"8,052",67則留言
我是查理 I'm Charlene,2023年12月25日,Merry Christmas!聖誕快樂我來送聖誕禮物啦～只要留言你想對我說的話隨便什麼都可以送出15份聖誕禮物哦大家聖誕節快樂,"2,307",569則留言
我是查理 I'm Charlene,2023年12月18日,今天帶著新買的gr3x出門散步拍照把瑞典拍得好像鬼片哦,"2,771",24則留言
我是查理 I'm Charlene,2023年8月7日,從昨天晚上開始瑞典這裡就發布了暴風雨警報果然從晚上開始就一直下雨打雷打雷的程度真的蠻可怕的晚上閉上眼睛睡覺都還是可以被窗外的閃電亮醒在首都南邊的某個城市一小時打了一千多次雷非常驚人這讓我想到台灣的颱風小時候我非常喜歡颱風天那時候的颱風天會停電我們全家人會點蠟燭一起玩撲克牌外面雷電交加、颳風下雨但是家裡卻歡笑聲連連那是我為數不多的家庭快樂時光後來爸媽就離婚了颱風來也不會再停電了,"2,172",11則留言
我是查理 I'm Charlene,2022年11月12日,今天開了一個小時的山路去泡野溪溫泉去年十二月有好幾池今天去只剩一池了但還是泡得很開心,431,3則留言
我是查理 I'm Charlene,1月23日,2023年度愛用保養品｜這6瓶我的最愛,84,1 則留言
我是查理 I'm Charlene,2023年11月27日,某天晚上睡覺前，J拉下百葉窗，結果打翻了我早上沒喝完放在窗邊的咖啡，咖啡灑到床上，而且是我睡的那邊。當下我們的反應是：我拿床單去洗J 拿毛巾鋪在保潔墊上然後我睡在床乾淨的那邊，J睡在沙發床上（他平常就很愛睡那），就關燈睡覺了到了隔天J才說：「欸，我覺得昨天那樣我們竟然沒有吵架，一句話都沒有責備對方，真的很強耶。」我覺得可能是因為老了，吵架其實很累的，只想趕快解決問題去睡覺如果是你，你會有什麼反應？,"1,853",37則留言
我是查理 I'm Charlene,2023年11月17日,最近J跟我聊天，忍不住跟我說：「我是個好男人吧！」不抽菸、不劈腿、無暴力傾向、熱愛運動、生活單純仔細想想，J好像真的沒有什麼可怕的壞習慣只是因為外表樸素就在戀愛市場上被忽略但其實我覺得個性才是最重要的外表什麼的都是浮雲就像妮維雅極潤修護乳液外表樸實使用後才驚為天人第一次用的時候我晚上擦一擦就去睡了隔天早上起床真的被嚇到因為我的身體每天都很乾就算擦完乳液隔天也還是會乾但擦妮維雅極潤修護乳液隔天身體皮膚竟然是嫩的這個保濕柔嫩的修護效果竟然是有續航力的！德國皮膚科醫師共同研發添加高濃度的醫美級B5除了保濕力超好卻完全不黏之外還可以舒緩改善5大乾癢敏弱問題所以皮膚乾燥、乾癢、泛紅的人都可以試試！而且不用擔心會黏棉被、衣服的問題還有妮維雅安心舒緩水潤霜除了維他命原B5還添加高濃度5%的尿素也是超強的保濕鎖水修護成分還能舒緩皮膚的敏感泛紅建議大家可以全身使用極潤修護乳液在比較乾燥的關節、局部加入安心舒緩水潤霜讓皮膚一整天都能水嫩不敏感另外他們家還有出護手霜哦讓手保濕不再乾裂而且水潤不黏膩我喜歡妮維雅價格超可愛效果又超好有皮膚乾燥敏感問題的人一定要試試！https://reurl.cc/K3nyN9NIVEA#妮維雅 #NIVEA #德國皮膚科醫師共同研發#修護5大乾癢敏弱問題 #醫美級修護金三角,745,8則留言
我是查理 I'm Charlene,2023年2月11日,今天好天氣去河濱公園騎車中午在麵攤吃麵時，老闆娘說：「你很漂亮！」J：「你說我嗎？謝謝！」老闆娘：「不是，我說她（指我）」J：「….」然後進來了幾個阿姨坐我們對面阿姨窸窸窣窣說：「對面那個好像是YouTuber 耶！但我不確定。」最後阿姨終於鼓起勇氣，說：「請問你是Lukas嗎？」我笑歪最後在麵攤，J速速吃完，一刻也不想再待了,"3,176",46則留言
我是查理 I'm Charlene,2023年7月25日,今天騎著J媽輪胎沒風的腳踏車趴趴走J的家剛好在一個小山丘上所以要回他家要騎上超陡且超長的斜坡J：「小時候我每天都要騎這個大斜坡回家」我：「真的太慘了，我騎一次就不行了（其實都用走的）」J：「要感謝這個斜坡，才讓我的童年能那麼瘦。我一搬離這裡以後，就變胖了」（結果照片沒拍到斜坡）,"1,841",13則留言
我是查理 I'm Charlene,3月16日下午9:42,照片裡的小男孩我們大家一致認為他前途不可限量就因為他送了我一串香蕉事情是這樣的我們到中高年級的班上講一些鼓勵的話叫大家好好念書什麼的但我上台真的不知道講什麼我就隨便說了句：「我喜歡吃你們這裡的香蕉」跟台灣的香蕉不一樣酸酸甜甜的烤出來超好吃結果他隔天就帶了一串那種香蕉給我在海倫的盤問下才發現原來他根本不是中高年級的學生他是低年級的學生偷偷跑到中高年級的班上想聽我們說了什麼然後把我隨口說的一句話放在心上送了香蕉給我而我也回送了他文具組（鉛筆橡皮擦削鉛筆機）用一串香蕉換到這些真的值了！（因為這些文具在烏干達很貴）覺得他好聰明（朋友說以後應該很會把妹）,"8,135",38則留言
我是查理 I'm Charlene,2023年3月3日,不知道你們有沒有這種朋友平常可以很久不聯絡但是一見面又像從來沒分開過那樣一有重要的事就可以跟他說不會因為時間的關係變得生疏海洋拉娜對我來說就是這樣的存在只要肌膚出事情還是會回到它的懷抱令人安心的味道和修護成分肌膚出問題的時候找他就對了全新的海洋拉娜舒芙乳霜超級適合我這種混合偏乾肌使用他們家最經典的專利成分 Miracle Broth（可以修護傷疤的極強修復成分）這個成份可以阻斷老化反應、修護細胞讓肌膚變得更健康強韌所以這是一瓶修護、抗老的乳霜舒服的奶油質地混合偏乾肌用剛剛好擦完很水嫩沒有一般貴婦乳霜太滋潤油膩的問題我自己會在皮膚覺得乾燥、暗沉的時候用打完雷射臉上有傷口需要修護的時候也會用想要入手抗老乳霜的混合偏乾肌非常適合這瓶入手30ml舒芙乳霜享珍珠限定版包裝入手60ml舒芙乳霜享珍珠限定版包裝+白玉美妍按摩滾輪大家可以填單體驗享體驗禮： https://bit.ly/3Zf1pVJ#海洋拉娜乳霜革命 #雙標靶抗老 #舒芙乳霜 #LaMerSoftCream,476,3則留言
我是查理 I'm Charlene,2023年4月23日,從峇里島飛回來看動力火車的演唱會聽到當和彩虹的時候真的一直掉眼淚能聽到他們好幸福（謝謝給我票的你）,"5,762",31則留言
我是查理 I'm Charlene,2023年11月15日,好久沒有畫這麼濃的妝了Jonas看到稱讚很漂亮但我說：「我馬上就要卸掉了。」Jonas一臉黑人問號我真的是不懂你們女人其實我也覺得自己很難搞化妝的時候 我的妝要持久又服貼！卸妝的時候要卸得乾淨又不傷皮膚！真的毛很多耶好險最近發現之前推薦過的卸妝水升級了！妮維雅B5精華卸妝水 #B5卸妝神水卸的又快又乾淨不會有殘妝堆在毛孔所以用了以後完全沒有長粉刺痘痘#B5卸妝神水 除了原有的雙重舒敏B5精華還升級多加入安心舒緩胺基酸所以卸完妝完全不會乾而且全系列德國原裝進口無酒精、無香料、無礦物油皮膚科醫師認證敏感肌也能用搭配掃膚融妝科技卸妝力很強底妝、腮紅、口紅、眼影、眉毛都卸得掉卸完妝終於可以讓皮膚透透氣睫毛膏的話推薦用妮維雅的眼唇卸妝液另外卸（他們家的眼唇卸妝液藍色款超好用！我用空一瓶了）我最近最常用的就是紫色 #舒敏型很適合皮膚容易敏感泛紅的人使用卸完臉很清爽不會油油的也不會泛紅重點是一大瓶400ml只要兩百多敏感肌和最近因為換季皮膚不穩或是想要維持皮膚穩定的人一定要入手試試哦https://reurl.cc/5OLxXqNIVEA#雙重舒敏B5精華 #妮維雅卸妝 #敏感肌安心卸妝#0殘妝秒卸淨 #肌膚深呼吸,"2,212",55則留言
我是查理 I'm Charlene,2023年5月6日,遛可愛娜娜的一天謝謝鄰居借狗給我遛,"1,775",13則留言
